manufacturer,permit_number,vin_number,total_disengagements,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,July 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,total_miles
WAYMO LLC,AVT003,SADHW2S11M1615776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.1,400.3,405.5,150.5,1338.1,2446.0,5539.5
WAYMO LLC,AVT003,SADHW2S11M1615681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.6,463.7,1097.9,1334.5,202.9,94.5,3789.1
WAYMO LLC,AVT003,SADHW2S14M1615805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.6,2761.7,2925.6,2035.8,1667.9,1381.9,11833.5
WAYMO LLC,AVT003,SADHW2S11M1616281,1.0,0.0,0.0,0.0,0.0,0.0,0.0,497.3,552.0,820.2,887.1,2335.1,2544.0,7635.7
WAYMO LLC,AVT003,SADHW2S16M1615773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.6,603.9,711.9,92.7,1805.9,752.0,4080.0
WAYMO LLC,AVT003,SADHW2S13M1615732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1442.0,926.5,1955.1,168.6,1578.6,2464.8,8535.6
WAYMO LLC,AVT003,SADHW2S12M1616290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.4,293.9,0.0,0.0,454.3,136.8,1458.4
WAYMO LLC,AVT003,SADHW2S15M1616199,1.0,0.0,0.0,0.0,0.0,0.0,0.0,171.2,297.4,1145.2,453.0,2174.4,3096.8,7338.0
WAYMO LLC,AVT003,SADHW2S16M1615501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.4,157.2,580.6,175.0,2697.8,1810.9,5684.9
WAYMO LLC,AVT003,SADHW2S18M1615564,3.0,0.0,0.0,0.0,0.0,0.0,0.0,84.5,941.3,1488.4,2740.0,2707.7,3110.6,11072.5
WAYMO LLC,AVT003,SADHW2S19M1615699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.5,856.5,855.4,396.6,2566.4,1183.0,6793.4
WAYMO LLC,AVT003,SADHW2S12M1615706,1.0,0.0,0.0,0.0,0.0,0.0,0.0,395.4,549.0,2601.2,395.5,2079.5,2521.4,8542.0
WAYMO LLC,AVT003,SADHW2S10M1615753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,500.0
WAYMO LLC,AVT003,SADHW2S15M1615599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.8,415.4,1574.1,1321.1,4285.4
WAYMO LLC,AVT003,SADHW2S12M1616130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.3,745.4,760.4,114.8,1005.3,829.2,3632.4
WAYMO LLC,AVT003,SADHW2S13M1615469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.7,653.2,277.2,1772.3,1829.9,4584.3
WAYMO LLC,AVT003,SADHW2S16M1616261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,0.0,0.0,0.0,0.0,0.0,32.7
WAYMO LLC,AVT003,SADHW2S14M1615738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.6,0.0,0.0,0.0,0.0,0.0,109.6
WAYMO LLC,AVT003,SADHW2S12M1615690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.5,1153.6,2433.0,2616.1,1957.8,1159.9,9422.9
WAYMO LLC,AVT003,SADHW2S18M1615838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,274.0,0.0,359.9,470.9,431.5,1572.0
WAYMO LLC,AVT003,SADHW2S19M1615668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,232.1,1401.9,2866.9,1360.0,1699.3,2743.5,10303.7
WAYMO LLC,AVT003,SADHW2S14M1615643,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.8,1561.2,0.0,54.8,1073.1,4464.9
WAYMO LLC,AVT003,SADHW2S14M1615674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.9,698.9,651.9,79.9,1101.8,1304.5,4085.9
WAYMO LLC,AVT003,SADHW2S18M1615421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.9,251.3,874.2,443.8,1952.3,2097.6,6062.1
WAYMO LLC,AVT003,SADHW2S10M1616367,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87.9,929.7,0.0,0.0,0.0,0.0,1017.6
WAYMO LLC,AVT003,SADHW2S19M1615721,1.0,0.0,0.0,0.0,0.0,0.0,0.0,83.7,813.6,2467.1,755.8,3033.7,1153.4,8307.3
WAYMO LLC,AVT003,SADHW2S19M1615816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.6,592.3,548.5,952.0,1283.3,4115.7
WAYMO LLC,AVT003,SADHW2S13M1615729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.8,1817.9,661.3,796.0,473.3,4834.3
WAYMO LLC,AVT003,SADHW2S11M1616054,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,625.3,974.0,365.6,655.7,0.0,2635.8
WAYMO LLC,AVT003,SADHW2S12M1616208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.7,1269.4,0.0,0.0,0.0,0.0,1411.1
WAYMO LLC,AVT003,SADHW2S15M1615635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.3,725.5,987.8,1191.5,2373.7,5351.8
WAYMO LLC,AVT003,SADHW2S1XM1615713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,671.3,0.0,0.0,0.0,0.0,724.3
WAYMO LLC,AVT003,SADHW2S12M1615589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.9,1013.1,453.4,1590.3,860.1,4340.8
WAYMO LLC,AVT003,SADHW2S12M1615527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.9,398.7,752.5,1663.7,672.6,3779.4
WAYMO LLC,AVT003,SADHW2S18M1615886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.3,0.0,0.0,0.0,0.0,387.3
WAYMO LLC,AVT003,SADHW2S18M1615970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.1,326.9,1751.0,20.4,0.0,1268.8,3499.2
WAYMO LLC,AVT003,SADHW2S18M1616083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,9.6,0.0,0.0,0.0,13.2
WAYMO LLC,AVT003,SADHW2S13M1616069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.9,817.8,518.2,3123.8,2649.4,7353.1
WAYMO LLC,AVT003,SADHW2S16M1616325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,1774.2,2917.5,2663.6,2804.2,10987.5
WAYMO LLC,AVT003,SADHW2S12M1616239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.7,79.2,246.0,488.7,1232.7,1524.2,3620.5
WAYMO LLC,AVT003,SADHW2S1XM1616103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8,981.1,809.8,516.7,1817.4,2704.7,6898.5
WAYMO LLC,AVT003,SADHW2S16M1615613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.8,686.8,1821.8,0.0,2482.1,5674.5
WAYMO LLC,AVT003,SADHW2S19M1615671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.2,0.0,0.0,0.0,0.0,206.2
WAYMO LLC,AVT003,SADHW2S15M1615716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.4,359.4,379.4,2058.8,759.8,3848.8
WAYMO LLC,AVT003,SADHW2S16M1616051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.2,382.6,537.2,2939.0,2857.4,7028.4
WAYMO LLC,AVT003,SADHW2S11M1615549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.8,452.8,132.0,1877.4,2030.6,5010.6
WAYMO LLC,AVT003,SADHW2S13M1615780,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.9,2108.9,1841.6,1388.9,2968.6,9095.9
WAYMO LLC,AVT003,SADHW2S14M1615982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAYMO LLC,AVT003,SADHW2S1XM1615629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.8,935.4,762.7,212.2,1985.9,3968.0
WAYMO LLC,AVT003,SADHW2S13M1615889,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.2,1128.2,805.5,1639.3,2280.0,6820.2
WAYMO LLC,AVT003,SADHW2S19M1615749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.7,1043.4,786.9,1542.0,2212.0,6195.0
WAYMO LLC,AVT003,SADHW2S14M1615593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.2,1489.1,2337.0,2834.8,2596.3,9497.4
WAYMO LLC,AVT003,SADHW2S1XM1615727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAYMO LLC,AVT003,SADHW2S11M1616359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAYMO LLC,AVT003,SADHW2S16M1615711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.8,0.0,0.0,0.0,0.0,378.8
WAYMO LLC,AVT003,SADHW2S12M1615849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.5,1040.5,201.5,3061.3,2455.0,6991.8
WAYMO LLC,AVT003,SADHW2S16M1615904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,908.7,2399.8,1943.9,2635.0,7925.4
