manufacturer,permit_number,vin_number,total_disengagements,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,July 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,total_miles
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,462.0,249.0,216.0,819.0,1427.0,1857.0,1139.0,1623.0,458.0,111.0,344.0,654.0,453.0,9350.0
AIMOTIVE INC.,AVT036,4T1B21HK3KU514477,218.0,0.0,0.0,0.0,0.0,0.0,1022.0,1458.0,651.0,969.0,342.0,466.0,957.0,5865.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,0.0,50.2,51.1,58.3,100.9,79.9,76.7,118.5,70.4,171.6,88.0,194.0,82.5,1142.1
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N77LR190366,0.0,168.0,205.1,45.4,45.6,61.5,59.0,108.5,42.8,44.5,4.0,0.0,40.0,824.4
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2C4RC1N71LR252232,0.0,0.0,0.0,0.0,126.4,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.6
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,41.8,33.5,0.0,34.2,0.0,2.5,13.3,0.0,0.0,0.0,202.1,41.5,368.9
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,0.0,,,,,,,,,,,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APPLE INC.,AVT030,2T2BGMCA0GC007400,286.0,12.9,16.1,177.5,8.7,0.4,839.1,1043.2,830.9,1273.1,707.3,1506.2,2068.4,8484.1
APPLE INC.,AVT030,2T2BGMCA0GC007946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.4,0.0,1.4
APPLE INC.,AVT030,2T2BGMCA0HC014753,112.0,0.0,7.6,223.8,0.0,0.0,170.7,29.5,117.8,696.4,5.2,720.0,0.0,1971.2
APPLE INC.,AVT030,2T2BGMCA0HC015899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4
APPLE INC.,AVT030,2T2BGMCA0HC019225,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.3,1384.0,1521.5,432.7,0.0,3605.4
APPLE INC.,AVT030,2T2BGMCA0HC019709,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.3
APPLE INC.,AVT030,2T2BGMCA0HC019919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.5,0.0,0.9
APPLE INC.,AVT030,2T2BGMCA0HC019967,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
APPLE INC.,AVT030,2T2BGMCA0HC020083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.9
APPLE INC.,AVT030,2T2BGMCA1HC016933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4
APPLE INC.,AVT030,2T2BGMCA2GC003882,409.0,0.0,193.8,912.0,271.7,457.4,747.9,385.1,720.4,1578.1,299.8,998.7,1201.8,7766.8
APPLE INC.,AVT030,2T2BGMCA2GC007754,2.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.3
APPLE INC.,AVT030,2T2BGMCA2GC008418,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
APPLE INC.,AVT030,2T2BGMCA2HC012521,311.0,431.9,657.9,752.3,178.2,0.0,0.0,483.6,672.4,175.8,1280.0,1681.8,1577.4,7891.3
APPLE INC.,AVT030,2T2BGMCA2HC019338,0.0,2.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,2.9
APPLE INC.,AVT030,2T2BGMCA2HC020151,24.0,0.0,0.0,0.0,0.0,103.2,16.1,10.5,9.4,0.0,0.0,0.0,0.0,139.2
APPLE INC.,AVT030,2T2BGMCA3GC007861,118.0,1.3,89.1,110.9,0.0,334.6,368.5,58.6,91.6,0.0,0.0,0.0,0.0,1054.6
APPLE INC.,AVT030,2T2BGMCA3GC007911,106.0,0.0,30.4,271.6,329.1,0.0,0.4,0.0,177.6,37.9,32.9,0.4,1310.3,2190.6
APPLE INC.,AVT030,2T2BGMCA3HC014584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0,0.9
APPLE INC.,AVT030,2T2BGMCA3HC020062,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
APPLE INC.,AVT030,2T2BGMCA4GC005228,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
APPLE INC.,AVT030,2T2BGMCA4HC016912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4
APPLE INC.,AVT030,2T2BGMCA4HC019826,37.0,0.5,0.0,0.0,210.3,122.5,85.8,0.0,593.7,267.7,0.0,27.9,192.8,1501.1
APPLE INC.,AVT030,2T2BGMCA4HC020118,204.0,477.6,0.0,125.0,0.0,0.0,0.0,597.1,819.4,1208.3,424.9,1571.1,972.8,6196.2
APPLE INC.,AVT030,2T2BGMCA5HC014389,294.0,0.0,0.0,0.0,0.0,344.6,278.6,426.3,1078.8,1153.7,1000.4,1916.8,1479.3,7678.6
APPLE INC.,AVT030,2T2BGMCA5HC019219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4
APPLE INC.,AVT030,2T2BGMCA5HC019432,692.0,0.0,0.0,524.2,403.5,673.5,1080.2,588.2,616.8,1872.8,1631.5,1590.7,926.9,9908.3
APPLE INC.,AVT030,2T2BGMCA5HC019737,1.0,81.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.2
APPLE INC.,AVT030,2T2BGMCA5HC019818,209.0,44.4,92.9,60.1,0.0,0.0,186.8,202.1,692.9,991.3,1043.9,1407.4,1614.2,6335.9
APPLE INC.,AVT030,2T2BGMCA6HC019228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4
APPLE INC.,AVT030,2T2BGMCA7GC003781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4
APPLE INC.,AVT030,2T2BGMCA7GC007068,117.0,0.0,0.0,0.0,0.0,0.4,509.0,841.0,597.1,13.0,6.3,15.2,5.4,1987.5
APPLE INC.,AVT030,2T2BGMCA8GC003823,162.0,0.0,0.0,473.3,405.3,637.4,986.3,848.9,741.3,1285.4,1612.6,0.0,1143.5,8134.1
APPLE INC.,AVT030,2T2BGMCA8GC007371,131.0,0.0,0.0,62.8,0.4,72.0,835.9,414.1,639.9,840.9,265.3,0.0,48.8,3180.3
APPLE INC.,AVT030,2T2BGMCA8GC008505,774.0,580.4,723.6,417.2,495.6,594.3,614.2,763.1,1011.7,1682.9,1998.5,1612.8,1146.5,11640.8
APPLE INC.,AVT030,2T2BGMCA8HC016136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.9
APPLE INC.,AVT030,2T2BGMCA8HC017772,159.0,0.0,0.0,0.0,0.0,0.0,0.0,504.9,737.1,849.0,1147.2,592.1,17.4,3847.8
APPLE INC.,AVT030,2T2BGMCA8HC019411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.9
APPLE INC.,AVT030,2T2BGMCA8HC019540,240.0,0.0,0.0,0.4,6.9,110.1,332.0,553.8,978.6,222.9,865.4,336.0,0.0,3406.2
APPLE INC.,AVT030,2T2BGMCA8HC020137,4.0,0.0,0.0,19.0,3.6,183.1,286.8,0.0,0.0,0.0,0.0,0.0,0.0,492.5
APPLE INC.,AVT030,2T2BGMCA9GC007394,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
APPLE INC.,AVT030,2T2BGMCA9GC008464,189.0,0.0,0.0,0.0,0.0,258.3,383.0,586.6,1294.0,822.1,722.6,453.2,87.8,4607.5
APPLE INC.,AVT030,2T2BGMCA9HC019126,625.0,165.4,801.2,596.4,665.7,683.6,778.3,962.2,1222.9,942.2,1690.9,1317.6,1620.5,11446.7
APPLE INC.,AVT030,2T2BGMCA9HC019305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APPLE INC.,AVT030,2T2BGMCA9HC019532,50.0,250.5,577.3,584.9,279.0,199.1,126.1,0.0,0.0,41.7,0.0,426.0,330.0,2814.6
APPLE INC.,AVT030,2T2BGMCAXGC006416,272.0,0.0,0.0,0.0,0.0,0.0,161.0,763.1,1212.5,1332.8,760.4,0.0,641.6,4871.4
APPLE INC.,AVT030,2T2BGMCAXHC018051,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
APPLE INC.,AVT030,2T2BGMCAXHC018082,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
