manufacturer,permit_number,vin_number,total_disengagements,total_miles,month,miles,month_id,year,disengagements,cumsum_mile,cumsum_disengagements
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,462.0,9350.0,Jun 2022,1623.0,2022-06-01,2022,72.0,12786.0,442.0
AIMOTIVE INC.,AVT036,4T1B21HK3KU514477,218.0,5865.0,July 2022,651.0,2022-07-01,2022,10.0,13437.0,452.0
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,462.0,9350.0,July 2022,458.0,2022-07-01,2022,17.0,13895.0,469.0
AIMOTIVE INC.,AVT036,4T1B21HK3KU514477,218.0,5865.0,Aug 2022,969.0,2022-08-01,2022,58.0,14864.0,527.0
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,462.0,9350.0,Aug 2022,111.0,2022-08-01,2022,60.0,14975.0,587.0
AIMOTIVE INC.,AVT036,4T1B21HK3KU514477,218.0,5865.0,Sep 2022,342.0,2022-09-01,2022,12.0,15317.0,599.0
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,462.0,9350.0,Sep 2022,344.0,2022-09-01,2022,34.0,15661.0,633.0
AIMOTIVE INC.,AVT036,4T1B21HK3KU514477,218.0,5865.0,Oct 2022,466.0,2022-10-01,2022,16.0,16127.0,649.0
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,462.0,9350.0,Oct 2022,654.0,2022-10-01,2022,53.0,16781.0,702.0
AIMOTIVE INC.,AVT036,4T1B21HK3KU514477,218.0,5865.0,Nov 2022,957.0,2022-11-01,2022,59.0,17738.0,761.0
AIMOTIVE INC.,AVT036,4T1B21HK6KU514747,462.0,9350.0,Nov 2022,453.0,2022-11-01,2022,25.0,18191.0,786.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Dec 2020,0.0,2020-12-01,2020,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,637.5,Dec 2020,0.0,2020-12-01,2020,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Dec 2020,0.0,2020-12-01,2020,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Dec 2020,0.0,2020-12-01,2020,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,1.0,830 .04,Dec 2020,0.0,2020-12-01,2020,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Jan 2021,0.0,2021-01-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,637.5,Jan 2021,0.0,2021-01-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Jan 2021,0.0,2021-01-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Jan 2021,0.0,2021-01-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,1.0,830 .04,Jan 2021,0.0,2021-01-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Feb 2021,0.0,2021-02-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,637.5,Feb 2021,0.0,2021-02-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU5GR607996,0.0,0.0,Feb 2021,0.0,2021-02-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU1HR627987,0.0,0.0,Feb 2021,0.0,2021-02-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L5LU2HR615153,1.0,830 .04,Feb 2021,0.0,2021-02-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,2T2BGMCA5JC021381,0.0,0.0,Mar 2021,0.0,2021-03-01,2021,0.0,0.0,0.0
APOLLO AUTONOMOUS DRIVING USA LLC,AVT015,3LN6L2LU4GR629715,0.0,637.5,Mar 2021,0.0,2021-03-01,2021,0.0,0.0,0.0
